,Region,Pack_Size,Commodity,Organic_new1,Low_Price,High_Price,HEB_Price_Gallon,year,month,day,Store_Demand_Rand_NORMDIST
2954,3,5,1,0,1.66,2.5,2.39,2,4,29,8.786904386706544
128,3,5,1,0,1.67,2.5,2.04,2,2,6,8.725900689449212
7732,6,5,1,1,3.99,4.99,4.97,4,5,16,8.66082277800265
9193,5,6,1,0,1.67,2.49,2.11,5,3,27,8.693174307212427
7590,6,5,1,0,1.77,2.5,2.44,4,4,26,8.760934341993153
10095,5,2,1,0,2.99,2.99,2.99,5,10,2,8.634049781488185
12111,6,7,2,0,2.99,2.99,2.99,3,0,15,8.571030124591319
14660,4,8,2,1,2.99,2.99,2.99,4,8,15,8.52652582255859
5765,3,0,0,1,3.99,3.99,3.99,0,9,4,8.143479676415732
4279,2,6,1,0,1.77,3.0,1.95,3,5,11,8.651072120450529
9263,5,2,1,0,2.49,3.99,2.55,5,4,11,8.425569813403097
9943,1,1,1,0,2.99,3.99,3.19,5,9,5,7.977941329451967
1606,4,3,1,0,4.99,7.99,5.19,3,5,4,8.54089198003231
14347,1,7,2,0,1.79,2.99,2.34,4,5,2,8.632868865801749
9999,1,0,0,0,1.99,3.0,2.79,5,9,19,8.232350043834506
8320,6,0,0,0,0.79,3.49,2.97,4,9,20,7.904742311872621
3540,6,0,0,0,3.29,4.99,3.77,3,0,22,7.750138680442897
3136,6,6,1,0,1.99,3.79,3.02,2,7,7,8.608904266048558
6268,1,6,1,0,1.5,2.5,1.85,1,5,27,8.706309180890221
14006,3,8,2,0,1.0,2.69,1.47,4,0,28,8.341336755096323
14412,4,7,2,0,2.5,2.5,2.5,4,6,0,8.610449048027776
1478,4,6,1,0,1.79,3.99,2.3,3,0,8,8.579109320444543
429,5,5,1,0,2.25,3.48,2.97,2,6,10,8.59930110130602
14201,1,7,2,0,1.69,3.0,2.67,4,3,14,8.506871742046998
9635,5,6,1,0,1.49,2.5,1.87,5,7,10,8.732233091217514
11792,3,8,2,0,1.99,1.99,1.99,2,3,17,8.48631749422523
4585,3,3,1,0,4.99,6.99,5.81,3,7,13,8.477716211123388
3197,4,6,1,0,1.99,2.99,2.83,2,8,4,8.709292723229652
8093,2,1,1,0,3.5,3.5,3.5,4,7,25,8.067722603941842
14783,4,4,2,1,1.0,1.0,1.0,4,9,27,8.132280951351342
14173,5,7,2,1,5.99,5.99,5.99,4,1,25,8.617317712480103
8701,5,5,1,0,1.67,2.5,2.25,5,0,12,8.711584225262916
2707,1,5,1,0,1.49,3.5,1.98,2,1,6,8.731487383296859
3508,2,5,1,0,1.99,3.29,3.13,3,0,15,8.630804768917317
13600,4,8,2,1,2.79,3.49,3.18,1,6,11,8.500113768514723
3356,4,6,1,1,3.99,3.99,3.99,2,9,30,8.659625122141096
7678,3,6,1,0,1.67,2.5,2.5,4,5,9,8.508296297976136
2392,3,5,1,0,1.79,3.0,2.02,3,10,12,8.618045677902469
424,6,0,0,0,3.99,3.99,3.99,2,6,10,8.125803166026342
15275,6,8,2,1,3.5,4.49,3.95,5,5,1,8.387551722938937
14815,2,8,2,1,2.79,4.99,4.93,4,10,10,8.641724991529417
8868,4,0,0,0,2.5,3.99,3.02,5,1,23,8.170560399069206
7542,6,0,0,1,5.99,6.19,6.12,4,4,12,8.05187471711868
3689,1,2,1,0,3.79,4.49,4.48,3,1,19,8.595837003003371
1781,2,2,1,0,3.99,3.99,3.99,3,6,9,8.283089651025364
7230,1,5,1,0,1.33,2.79,1.57,4,2,24,8.60756642766729
7425,3,6,1,0,1.67,3.0,2.37,4,3,21,8.7689453435442
9325,2,2,1,0,3.99,3.99,3.99,5,5,1,8.562868813829102
11035,6,4,2,1,1.0,1.0,1.0,3,4,7,8.04149263165281
13086,4,8,2,0,1.0,1.25,1.06,0,4,3,8.371340378456836
7435,1,5,1,1,3.29,3.29,3.29,4,3,21,8.688115408529294
10048,1,3,1,0,5.99,5.99,5.99,5,9,26,8.496484188209033
14809,3,7,2,0,2.5,2.5,2.5,4,10,10,8.652458710250931
4116,3,6,1,0,1.69,3.49,1.92,3,0,8,8.655519290218637
10275,1,6,1,1,3.49,3.49,3.49,5,11,7,8.693989472263636
4238,1,1,1,0,2.99,2.99,2.99,3,5,4,8.205375511823224
5721,6,6,1,0,1.67,2.5,2.22,0,8,20,8.718613901007867
9678,3,5,1,1,3.49,3.49,3.49,5,7,3,8.645762652884128
15121,4,8,2,0,1.79,1.79,1.79,5,3,6,8.426471245767377
5088,2,0,0,1,4.99,4.99,4.99,3,10,19,7.675750083496761
12711,2,7,2,0,2.99,3.69,3.01,3,7,27,8.703074312636113
5671,1,5,1,0,0.99,2.98,1.54,0,8,6,8.477652733240477
2863,3,1,1,0,3.79,3.99,3.97,2,3,17,8.123511043422416
9194,6,6,1,0,1.88,2.49,2.22,5,3,27,8.494542834302088
2606,6,0,0,0,1.69,3.99,3.75,3,11,24,8.068775071149402
12511,3,8,2,1,3.49,4.29,3.83,3,5,11,8.572132298049993
3269,5,1,1,0,2.97,3.99,3.26,2,9,2,8.105529888432574
13842,1,7,2,1,4.99,4.99,4.99,0,5,14,8.443396513599058
13723,3,8,2,1,3.29,3.59,3.5,1,9,3,8.437883007854564
2321,6,0,0,0,4.28,5.49,4.35,3,9,29,7.838067789496494
10119,5,1,1,0,3.79,3.79,3.79,5,10,9,8.075002358929414
7316,1,6,1,0,1.5,2.5,2.13,4,3,0,8.669132773366877
9329,6,2,1,0,3.49,3.49,3.49,5,5,1,8.351938904648344
11720,5,4,2,1,0.83,0.83,0.83,2,1,6,8.30947267333869
8198,1,1,1,0,2.99,3.49,3.33,4,8,22,8.017782891701078
5635,5,0,0,0,1.99,2.5,2.16,0,7,23,7.870091905983203
10129,6,6,1,0,2.49,3.49,3.15,5,10,9,8.586663883423167
8599,1,5,1,0,1.25,3.0,2.69,4,11,15,8.635747925423178
363,6,6,1,0,1.77,3.69,2.23,2,5,12,8.671660942617663
7120,2,1,1,0,2.49,3.99,3.55,4,2,3,7.9662955329606815
7747,4,5,1,0,1.66,3.0,1.72,4,6,0,8.828126352232468
1950,2,6,1,0,1.88,3.0,1.89,3,7,13,8.6230622799801
2857,3,5,1,0,1.99,1.99,1.99,2,3,17,8.50251833512782
13906,2,8,2,0,2.99,2.99,2.99,0,9,18,8.601397976397884
11152,1,8,2,1,2.5,2.5,2.5,3,5,11,8.511623593438731
13639,5,8,2,1,3.49,3.99,3.75,1,7,8,8.306035887965177
7863,4,0,0,0,2.5,3.75,3.47,4,6,14,7.962208334360986
2560,4,5,1,1,3.49,4.69,3.91,3,11,10,8.63170703634353
15662,1,7,2,0,1.99,1.99,1.99,5,9,19,8.545453356757106
11214,1,7,2,0,1.99,2.99,2.44,3,6,9,8.608353013853524
9151,3,3,1,0,4.99,4.99,4.99,5,3,20,8.448495759911273
11863,6,8,2,1,3.79,3.99,3.8,2,5,12,8.699190723638692
4927,5,5,1,0,1.79,2.5,2.0,3,9,22,8.744172902264495
4415,3,6,1,0,2.0,3.5,2.46,3,6,9,8.740999114884273
10951,1,8,2,1,4.29,4.29,4.29,3,3,9,8.670168611602461
7186,6,0,0,0,2.99,2.99,2.99,4,2,10,7.952353075026457
9188,4,3,1,0,4.99,4.99,4.99,5,3,27,8.435427352915397
3039,3,6,1,0,1.66,1.99,1.82,2,5,26,8.833531941291634
13880,5,8,2,1,2.99,3.59,3.54,0,10,1,8.514078367462927
5876,6,2,1,0,2.99,4.99,2.99,1,0,10,8.581725044510799
6416,1,1,1,0,2.98,2.98,2.98,1,8,5,7.973651177968237
14734,2,8,2,0,3.99,3.99,3.99,4,9,13,8.212587225581547
11125,0,7,2,0,3.09,3.99,0.0,3,5,4,8.723476751767015
4128,6,5,1,1,3.99,3.99,3.99,3,0,8,8.629105966690174
14206,6,7,2,0,1.85,2.99,1.96,4,3,14,8.557313824572814
10438,3,7,2,0,3.79,3.79,3.79,2,3,17,8.52282814329018
1583,3,2,1,0,3.99,3.99,3.99,3,4,28,8.715439276384144
2919,4,0,0,0,2.98,2.98,2.98,2,4,15,7.785548412973422
1432,6,5,1,0,1.99,3.0,2.94,3,4,7,8.774532545776513
5983,2,0,0,0,1.99,3.99,3.19,1,2,7,7.738994069764805
8604,1,1,1,0,2.49,4.99,4.9,4,11,15,7.724759270936549
3878,3,6,1,1,3.99,3.99,3.99,3,2,26,8.701819339793046
1477,3,6,1,0,1.69,3.49,2.39,3,0,8,8.720181512516225
4658,1,6,1,0,1.99,2.5,2.21,3,7,27,8.531227804185285
9361,1,2,1,0,2.99,3.49,3.0,5,5,8,8.445274678939622
11002,3,7,2,0,2.79,2.79,2.79,3,4,0,8.519738547207206
11326,5,4,2,1,1.0,1.0,1.0,3,7,13,8.209485109795791
11888,5,8,2,0,1.99,1.99,1.99,2,6,10,8.463041124802078
9358,4,6,1,0,1.69,3.0,2.02,5,5,8,8.744519015957724
11255,2,7,2,0,1.99,2.59,2.16,3,6,23,8.702609630023543
3425,2,5,1,1,3.99,3.99,3.99,2,10,27,8.77564296614936
3346,1,2,1,0,4.5,4.99,4.97,2,9,30,8.346598164377623
9391,3,6,1,0,1.99,3.0,2.47,5,5,15,8.62948431422885
11161,1,8,2,0,3.49,3.49,3.49,3,5,18,8.431271618842525
10134,5,2,1,0,2.99,4.99,4.15,5,10,9,8.471814143535587
6756,1,5,1,0,1.5,3.49,1.83,0,10,15,8.749980100473573
14460,3,8,2,1,2.99,3.99,3.75,4,6,7,8.218078733774869
11182,2,8,2,0,2.5,3.49,3.37,3,5,25,8.391248598472226
15503,2,7,2,0,2.99,2.99,2.99,5,7,24,8.700381401920367
4904,2,6,1,0,1.79,3.0,2.17,3,9,15,8.582866507706925
9717,3,0,0,0,2.99,4.5,3.9,5,7,24,8.217839573997715
6946,6,3,1,0,6.99,6.99,6.99,4,0,21,8.477780028578072
6763,2,1,1,0,1.88,4.99,2.78,0,10,15,7.975459250297901
9286,6,3,1,0,4.99,7.99,7.7,5,4,18,8.34883950751617
11171,6,7,2,0,1.99,3.99,3.5,3,5,18,8.604857471986985
5063,2,0,0,0,1.88,3.99,3.33,3,10,19,8.01167488298637
9568,5,2,1,0,2.99,4.9,4.19,5,6,20,8.442404091605633
9046,2,1,1,0,1.99,5.99,2.32,5,2,30,8.174581351386628
12669,1,7,2,0,1.69,2.77,2.36,3,7,13,8.679809617772875
12166,2,4,2,1,1.0,1.0,1.0,3,1,5,8.215935768969555
902,1,5,1,0,1.98,2.5,2.41,3,0,22,8.622590545547933
385,1,5,1,0,2.0,2.4,2.26,2,5,26,8.554331108456244
8229,6,0,0,0,3.49,3.99,3.56,4,8,29,7.921210116759904
13430,1,8,2,0,1.49,1.99,1.75,1,2,7,8.338253252648407
5566,1,0,0,0,1.99,2.49,2.18,0,6,26,8.079160650010524
2810,2,2,1,0,3.99,5.0,4.04,2,2,20,8.588875577080046
14449,3,8,2,0,1.25,1.99,1.52,4,6,7,8.401995215018893
3774,3,0,0,0,1.99,3.5,2.3,3,2,12,8.16360158381819
13399,5,7,2,0,2.98,3.99,3.14,1,1,7,8.532943123095684
73,6,5,1,0,1.49,3.49,2.25,2,1,6,8.624513462255868
11873,1,8,2,1,3.69,4.28,4.28,2,5,26,8.492000025828931
519,1,1,1,0,3.99,3.99,3.99,2,7,21,7.983227469745492
8816,2,2,1,0,3.49,3.99,3.52,5,1,2,8.559676419611865
3199,6,6,1,0,1.97,2.99,2.29,2,8,4,8.732269552985201
11877,5,8,2,1,3.98,4.0,3.99,2,5,26,8.433325208000614
943,2,6,1,0,1.99,3.49,2.74,3,0,29,8.67548299729082
14807,1,7,2,0,1.48,2.79,2.79,4,10,10,8.429430205599804
6878,6,6,1,0,1.59,2.99,2.49,4,0,7,8.700614711846752
13771,6,8,2,0,1.0,1.0,1.0,1,10,28,8.432948401123037
7528,3,3,1,0,4.99,4.99,4.99,4,4,12,8.49638068455673
11275,4,7,2,0,1.99,2.99,2.42,3,6,30,8.618563194433367
6419,3,3,1,0,4.88,5.99,5.78,1,8,5,8.526660574335356
4540,6,0,0,0,2.49,3.48,2.61,3,7,6,7.887028156836557
6178,2,0,0,0,1.99,3.99,2.58,1,4,30,8.045586565150138
13145,4,7,2,0,1.97,2.5,1.97,0,5,28,8.69035798969242
12081,4,7,2,0,2.5,3.0,2.95,2,11,11,8.645121546066303
11862,5,8,2,1,2.99,3.49,3.12,2,5,12,8.7681116229185
2833,2,3,1,0,6.99,6.99,6.99,2,3,3,8.507811897783427
8635,6,5,1,0,1.66,3.0,2.12,4,11,22,8.65974678164423
5946,5,2,1,0,2.99,5.0,3.23,1,1,7,8.236624206351422
999,2,5,1,0,1.67,3.0,1.7,3,1,12,8.743296739660101
5192,4,2,1,0,2.49,3.99,3.34,3,11,10,8.583115118344367
8031,5,2,1,0,3.49,3.49,3.49,4,7,11,8.500143226054947
8130,6,3,1,0,4.99,7.99,7.87,4,8,8,8.469381602052522
14725,5,8,2,1,3.98,3.98,3.98,4,9,6,8.498009772979696
11022,5,7,2,0,2.5,2.99,2.74,3,4,7,8.70071217516312
6323,6,1,1,0,4.99,4.99,4.99,1,6,25,7.967915203022858
5006,6,3,1,0,6.99,6.99,6.99,3,10,5,8.454674991981353
2995,5,3,1,0,4.99,4.99,4.99,2,5,12,8.425939247052565
4519,1,6,1,0,1.49,2.5,2.31,3,6,30,8.508425121284965
2510,6,6,1,0,1.99,3.0,2.58,3,11,3,8.798380675457079
5488,3,1,1,0,4.49,4.99,4.53,0,5,0,7.9429686672864515
1366,2,6,1,0,1.66,3.0,2.01,3,3,23,8.571417594475589
6021,6,0,0,0,2.5,2.5,2.5,1,2,21,8.106748822863223
679,6,2,1,0,2.99,4.5,3.29,2,9,16,8.341971906874447
3657,1,2,1,0,3.79,3.79,3.79,3,1,12,8.456086810648351
5366,2,6,1,0,1.66,2.99,2.51,0,3,5,8.686265685771227
7707,4,5,1,0,1.49,2.0,1.76,4,5,16,8.665293582181363
6570,3,3,1,0,4.99,6.99,5.03,1,10,28,8.577815134846366
5647,2,3,1,0,10.99,10.99,10.99,0,7,23,8.522201746102585
6432,1,0,0,0,0.99,2.99,1.59,1,8,19,7.831400829294229
9252,3,3,1,0,3.88,5.99,4.3,5,4,11,8.481462243014304
477,3,0,0,0,3.5,3.99,3.61,2,7,7,8.023499816985042
3625,3,5,1,1,3.99,3.99,3.99,3,1,5,8.551989169911336
375,3,6,1,1,3.49,3.49,3.49,2,5,12,8.626370852796128
3027,4,5,1,0,2.0,2.99,2.39,2,5,26,8.790193588799031
1965,2,6,1,1,3.5,3.5,3.5,3,7,13,8.525651448888382
571,4,6,1,1,3.99,3.99,3.99,2,8,4,8.655813769140842
6740,4,6,1,0,1.5,2.5,2.1,0,10,1,8.714047493364978
8277,3,6,1,0,1.25,2.5,1.96,4,9,6,8.629537019148632
9000,5,2,1,0,2.49,3.99,3.17,5,2,16,8.651565553476868
4703,6,5,1,1,3.99,3.99,3.99,3,8,3,8.7101003629182
13243,6,4,2,1,1.0,1.0,1.0,0,7,23,8.094142718816018
6116,5,2,1,0,3.99,4.88,4.01,1,3,18,8.467694362536239
3919,1,5,1,0,2.33,2.5,2.45,3,3,9,8.579852363952186
3104,3,3,1,0,4.99,4.99,4.99,2,6,24,8.486739877809205
7760,2,6,1,0,1.66,3.49,2.11,4,6,0,8.648965569465114
4717,2,1,1,0,2.99,3.99,3.21,3,8,10,8.068448871416274
7980,2,3,1,0,6.99,6.99,6.99,4,7,4,8.539735176623653
11397,2,8,2,1,3.69,3.69,3.69,3,8,10,8.341307657523314
14952,4,7,2,0,2.29,3.29,2.37,5,0,19,8.493690032568695
3242,4,2,1,0,3.34,3.34,3.34,2,8,18,8.37971476784536
2646,4,5,1,0,1.79,2.5,1.82,2,0,9,8.477400839163309
4008,5,6,1,0,1.66,3.5,1.81,3,3,23,8.591518025034581
6789,5,0,0,1,3.99,3.99,3.99,0,10,15,7.740107174858186
5073,6,5,1,0,1.77,3.0,2.14,3,10,19,8.739309306997693
8798,5,5,1,0,1.88,3.0,2.48,5,1,2,8.841913414031868
2791,2,5,1,0,1.66,2.99,1.78,2,2,20,8.540502278987688
13908,5,8,2,0,1.5,1.5,1.5,0,9,18,8.580605419870622
7787,5,5,1,0,1.88,3.29,2.74,4,5,23,8.667114048006457
14020,1,7,2,1,5.29,5.29,5.29,4,0,28,8.409281530585522
9582,2,5,1,0,1.77,3.0,1.81,5,6,27,8.678924359943998
4948,6,2,1,0,4.96,5.18,5.08,3,9,22,8.52967098939341
1848,3,6,1,0,1.99,3.5,2.3,3,6,23,8.910588470502649
14881,3,8,2,0,0.99,0.99,0.99,4,11,15,8.399702561790921
12962,5,7,2,0,2.88,2.88,2.88,3,11,3,8.712042499378153
1597,5,5,1,0,1.59,3.0,1.87,3,5,4,8.664224817246717
3728,4,6,1,1,3.99,3.99,3.99,3,1,26,8.482308534879873
1384,2,0,0,0,3.0,3.99,3.05,3,4,0,8.061055963769775
8753,4,0,0,1,5.49,6.29,5.88,5,0,19,7.776253785373272
9464,6,6,1,0,1.88,3.49,2.1,5,5,29,8.64730314136156
1261,2,6,1,0,1.88,3.0,1.95,3,3,2,8.69637428444016
1870,3,5,1,0,1.99,3.99,2.42,3,6,30,8.57204321936191
4123,6,2,1,0,4.99,4.99,4.99,3,0,8,8.440947722034268
9450,6,5,1,0,1.88,3.49,3.47,5,5,29,8.757023777921598
5333,5,6,1,0,2.0,3.49,3.36,0,2,22,8.792259400761973
5044,6,3,1,0,5.0,6.99,5.19,3,10,12,8.430996310098502
15581,6,8,2,0,3.49,3.49,3.49,5,8,21,8.362277556460837
12156,4,7,2,0,1.99,2.99,2.06,3,1,5,8.735419492072685
11824,4,4,2,1,1.0,1.0,1.0,2,4,1,8.137340986982185
8757,4,0,0,0,2.99,3.0,2.99,5,0,26,8.04235293100777
7485,6,1,1,0,2.49,3.99,2.75,4,4,5,8.21764870990973
11754,2,8,2,0,3.0,3.0,3.0,2,2,20,8.515391937366003
10641,2,8,2,0,1.99,3.99,3.98,2,9,2,8.34562985955834
127,2,5,1,0,1.99,2.98,2.37,2,2,6,8.86039540350663
10864,1,7,2,0,1.79,3.5,1.93,3,2,5,8.550791317028555
5639,3,5,1,0,1.5,5.99,1.55,0,7,23,8.674240390777976
10736,4,7,2,0,1.99,2.5,2.27,2,11,25,8.596131364692868
15180,5,8,2,0,2.5,2.99,2.7,5,3,27,8.106701974066315
13968,2,8,2,0,1.69,3.49,3.33,4,0,14,8.377103256037714
9619,4,5,1,0,1.38,3.0,1.68,5,7,10,8.763065369686457
11750,1,7,2,1,5.49,5.49,5.49,2,2,6,8.647909419444085
13687,2,4,2,1,0.75,0.81,0.79,1,8,5,8.093560820135233
1603,5,1,1,0,2.99,3.99,2.99,3,5,4,8.15977908655598
7261,5,0,0,0,2.0,2.99,2.7,4,1,25,7.989053895554941
9639,4,2,1,0,2.99,4.99,3.15,5,7,10,8.47995604562989
15741,4,8,2,1,3.99,3.99,3.99,5,10,16,8.537032067360737
11129,4,7,2,0,1.99,1.99,1.99,3,5,4,8.569567898539464
9266,6,0,0,1,5.99,5.99,5.99,5,4,11,7.900486574419345
11437,3,8,2,1,3.79,4.29,3.85,3,8,24,8.489160533599112
3680,3,3,1,0,6.99,7.49,7.14,3,1,19,8.475501727338727
15493,6,8,2,1,3.99,4.99,4.28,5,7,17,8.539083039036647
4837,5,6,1,0,1.88,3.0,2.29,3,9,1,8.631844747280468
14930,1,7,2,0,1.99,2.5,2.16,5,0,12,8.724695291979565
618,3,0,0,0,3.0,3.0,3.0,2,9,2,8.081649206490251
14060,2,4,2,1,1.0,1.0,1.0,4,1,11,8.143207731733108
8819,6,2,1,0,2.99,4.99,4.36,5,1,2,8.588485721090962
2483,5,0,0,1,5.99,5.99,5.99,3,10,26,8.234454872031446
1724,5,0,0,0,2.5,3.5,3.28,3,6,2,7.962297387318923
15246,3,7,2,0,1.99,2.5,2.06,5,4,18,8.766325555694879
697,2,3,1,0,8.49,8.49,8.49,2,9,30,8.546338870501756
2313,4,5,1,1,4.75,4.75,4.75,3,9,22,8.74355750480056
7017,4,6,1,0,1.49,2.5,1.84,4,1,4,8.630562172052185
12164,3,7,2,1,3.99,3.99,3.99,3,1,5,8.415276825986403
14414,6,7,2,0,1.89,2.99,1.98,4,6,0,8.681283032714749
9466,4,2,1,0,3.75,3.75,3.75,5,5,29,8.713162368554412
8062,1,6,1,0,1.33,2.99,2.15,4,7,18,8.68339855721588
10582,2,4,2,1,1.0,1.0,1.0,2,7,7,8.1440404820099
14223,4,7,2,0,1.88,3.69,2.26,4,3,7,8.63503579640632
428,4,5,1,0,2.0,3.99,3.79,2,6,10,8.776687350966485
10949,5,7,2,0,2.98,3.49,3.42,3,3,9,8.593265022589506
15654,5,7,2,1,5.97,5.97,5.97,5,9,12,8.638534422024884
9156,3,6,1,0,1.67,2.0,1.77,5,3,20,8.582129839249655
2880,1,0,0,1,3.99,3.99,3.99,2,3,17,8.196549987290803
12379,5,7,2,0,2.5,2.99,2.8,3,4,7,8.597580024924097
4706,3,0,0,0,2.3,3.99,2.41,3,8,10,8.117713851486538
11227,2,7,2,1,5.69,5.69,5.69,3,6,9,8.530927424066364
12100,4,7,2,1,5.79,6.19,5.89,2,11,25,8.506357904602275
2668,1,0,0,0,2.48,2.48,2.48,2,0,23,7.954583224547027
2196,3,6,1,0,1.99,3.0,2.36,3,9,1,8.504959806638528
4351,1,2,1,0,2.99,3.5,3.11,3,5,25,8.484846862371118
2254,4,5,1,0,1.67,2.5,2.05,3,9,15,8.738580077307871
11661,2,4,2,1,1.08,1.08,1.08,3,11,24,7.979454293964416
12223,3,7,2,0,2.5,2.79,2.57,3,2,5,8.56082079605709
10350,2,7,2,0,3.46,3.46,3.46,2,1,6,8.623329358969276
9154,1,6,1,0,1.5,2.5,2.37,5,3,20,8.573702032706203
14025,6,4,2,1,1.0,1.0,1.0,4,0,28,8.198904896219911
1844,4,3,1,0,5.99,5.99,5.99,3,6,23,8.440463186518427
12806,3,7,2,0,2.5,2.5,2.5,3,9,1,8.513313136078796
4523,5,6,1,0,1.49,2.5,1.5,3,6,30,8.422006860197545
2923,3,5,1,0,2.29,2.99,2.34,2,4,15,8.561350581238672
5194,6,2,1,0,2.49,5.18,4.4,3,11,10,8.74481748916902
9988,5,6,1,0,1.67,2.5,1.89,5,9,12,8.524006316543417
751,4,5,1,1,3.99,3.99,3.99,2,10,13,8.726751476955046
15755,0,7,2,0,2.99,2.99,0.0,5,11,0,8.601940986784152
10990,1,7,2,1,5.99,5.99,5.99,3,3,23,8.345791373436333
754,3,6,1,1,3.99,3.99,3.99,2,10,13,8.786735967989165
9289,3,6,1,0,1.67,1.99,1.88,5,4,18,8.638833847150847
14094,1,7,2,1,5.99,5.99,5.99,4,2,3,8.500957227509884
324,3,3,1,0,5.99,5.99,5.99,2,4,29,8.313797787153383
3380,3,6,1,0,2.99,3.99,3.06,2,10,13,8.611026865403508
1124,6,0,0,1,5.99,6.49,6.23,3,2,5,7.915167763791993
7008,2,1,1,0,2.5,3.99,3.69,4,1,4,8.37197531527242
6258,6,5,1,0,1.5,2.28,2.1,1,5,27,8.536616090167211
13291,3,8,2,0,1.25,1.25,1.25,0,9,4,8.490663341812532
13713,6,4,2,1,1.0,1.0,1.0,1,8,19,8.188443279530974
14659,3,8,2,1,3.79,4.49,4.49,4,8,15,8.502380399108771
4616,5,5,1,0,1.99,3.0,2.06,3,7,20,8.754235381662896
7084,5,3,1,0,6.99,6.99,6.99,4,1,18,8.488540478964053
12842,6,7,2,0,1.99,2.78,2.51,3,9,15,8.679574193608985
9608,5,0,0,1,5.49,5.49,5.49,5,6,27,7.814619784716185
4121,2,2,1,0,2.99,3.99,3.18,3,0,8,8.47219372762422
13528,5,8,2,1,3.69,3.69,3.69,1,4,16,8.356588748319632
15320,4,8,2,1,3.99,3.99,3.99,5,5,15,8.484555365217606
6775,3,6,1,0,1.99,2.5,2.27,0,10,15,8.693746647339543
11959,3,4,2,1,1.0,1.0,1.0,2,7,21,8.14611185586279
10911,2,8,2,0,1.89,1.89,1.89,3,2,26,8.389655013513721
12618,1,8,2,1,2.99,3.79,3.3,3,6,23,8.347556388927641
2815,4,5,1,1,3.87,3.87,3.87,2,2,20,8.671056344524924
8322,2,5,1,0,1.66,3.5,1.67,4,9,20,8.567342030669137
13960,5,8,2,1,2.99,4.49,4.41,4,0,7,8.55717217278529
9521,4,3,1,0,4.77,4.99,4.88,5,6,13,8.534826376711491
6748,5,0,0,1,3.99,3.99,3.99,0,10,1,8.007757004779776
7399,1,6,1,1,3.99,3.99,3.99,4,3,7,8.592361047939223
5108,4,1,1,0,3.99,3.99,3.99,3,10,26,8.209751609199003
12382,2,8,2,1,3.99,3.99,3.99,3,4,7,8.271124078079637
12723,3,4,2,1,1.0,1.0,1.0,3,7,27,8.140971839245228
14850,1,7,2,0,1.69,2.99,2.16,4,11,1,8.670260636278677
13138,2,8,2,0,2.5,2.99,2.91,0,5,28,8.26511439112268
7223,6,6,1,1,2.99,2.99,2.99,4,2,10,8.543586772028569
11753,5,4,2,1,0.88,0.88,0.88,2,2,6,8.096672827312442
7861,2,0,0,0,2.49,3.99,3.19,4,6,14,8.245323730170005
3572,3,5,1,0,1.99,3.49,2.84,3,0,29,8.617050768366095
4679,2,5,1,0,1.69,3.5,2.32,3,8,3,8.654521879904387
645,2,0,0,1,3.99,3.99,3.99,2,9,2,7.994282594026192
4206,6,5,1,0,1.99,2.99,2.79,3,4,28,8.63156212109857
6079,5,6,1,0,1.67,2.5,2.21,1,3,4,8.721252158106513
15781,2,7,2,1,5.69,6.99,6.49,5,11,7,8.371517124547204
13556,1,7,2,0,2.0,2.79,2.58,1,5,13,8.586810254577669
8083,3,0,0,0,2.49,2.99,2.93,4,7,25,7.926479795559541
8743,1,6,1,0,1.66,2.5,1.67,5,0,19,8.726077812423519
10806,6,8,2,1,3.99,4.99,4.38,3,1,5,8.52895286695582
9125,2,6,1,0,1.99,3.49,2.89,5,3,13,8.577793351039269
14752,6,8,2,0,0.99,2.49,2.25,4,9,20,8.489012468983288
9812,2,2,1,0,3.49,4.29,4.27,5,8,7,8.49096557142103
4455,2,2,1,0,3.9,3.9,3.9,3,6,16,8.341048351742371
7769,5,2,1,0,2.99,2.99,2.99,4,6,0,8.613631686612655
11460,5,7,2,1,4.99,4.99,4.99,3,9,1,8.495420301062875
738,6,3,1,0,5.99,7.99,6.68,2,10,13,8.6009579351083
13843,5,7,2,1,4.99,4.99,4.99,0,5,14,8.58064572548977
826,6,2,1,0,3.79,4.99,3.9,2,11,11,8.21401879545826
5280,3,0,0,0,2.0,2.99,2.05,0,2,8,7.761780820095928
8729,5,0,0,0,2.5,3.59,3.12,5,0,19,7.8471487488435585
7927,2,0,0,1,5.0,5.0,5.0,4,6,21,7.879850764835456
7501,6,2,1,0,2.49,3.99,3.39,4,4,5,8.529937190341512
5931,5,1,1,0,2.99,5.0,4.29,1,1,7,8.074009154505148
7714,5,1,1,0,3.48,5.49,4.7,4,5,16,8.133751476005031
3530,4,2,1,0,6.99,6.99,6.99,3,0,15,8.431477845062668
9883,5,6,1,0,1.67,2.5,2.01,5,8,21,8.607049141859575
8650,5,6,1,0,1.67,2.49,1.91,4,11,22,8.6591921436633
12352,3,4,2,1,1.0,1.0,1.0,3,3,23,8.337385154184044
6534,5,5,1,0,1.79,3.0,2.17,1,10,14,8.726992809820633
7903,3,5,1,0,1.25,3.0,2.74,4,6,21,8.784079026260837
1802,3,1,1,0,3.99,4.49,4.42,3,6,16,7.8774709486033565
11598,4,8,2,0,0.99,0.99,0.99,3,11,3,8.539864068730175
9842,5,3,1,0,5.99,5.99,5.99,5,8,14,8.571267206865057
5778,3,5,1,0,1.99,1.99,1.99,0,11,13,8.754597491592977
